open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_volume,taker_buy_quote_volume,day_of_week,hour_of_day,ma_14,ema_14,bb_upper,bb_lower,rsi_14,close_lag1,close_lag2,returns_1m
2024-01-01 00:44:00,42419.34,42443.9,42396.5,42441.32,40.80849,2024-01-01 00:44:59.999,1731282.7124348,872,29.95458,1270920.8893541,0,0,42404.14428571429,42420.65463650624,42487.134460050074,42341.79453994993,63.157060594854286,42419.35,42424.68,0.0005179240134514096
2024-01-01 00:45:00,42441.32,42462.01,42441.31,42462.01,20.20222,2024-01-01 00:45:59.999,857649.7362935,664,16.48027,699643.9054862,0,0,42409.86,42426.16868497207,42477.38626355934,42347.74473644067,69.95909408360953,42441.32,42419.35,0.00048749661886104967
2024-01-01 00:46:00,42462.0,42465.52,42462.0,42465.52,11.60893,2024-01-01 00:46:59.999,492963.3701447,421,8.95978,380466.9054345,0,0,42416.46071428571,42431.4155269758,42477.798946875075,42347.52105312492,73.68394074529738,42462.01,42441.32,8.266212550922525e-05
2024-01-01 00:47:00,42465.51,42465.52,42446.0,42446.01,17.62068,2024-01-01 00:47:59.999,748139.0442453,519,2.92052,123966.2719861,0,0,42421.61714285715,42433.36145671236,42479.2021109577,42347.11888904229,66.87549675066796,42465.52,42462.01,-0.0004594315576494923
2024-01-01 00:48:00,42446.0,42446.01,42433.1,42433.1,5.09397,2024-01-01 00:48:59.999,216200.8408404,388,1.17191,49737.6058389,0,0,42426.62928571429,42433.32659581738,42480.371548581665,42347.21845141833,66.2498263165212,42446.01,42465.52,-0.00030415108510795097
2024-01-01 00:49:00,42433.11,42433.11,42422.45,42422.46,5.22237,2024-01-01 00:49:59.999,221564.2649072,350,1.08097,45858.1339844,0,0,42431.11357142857,42431.877716375064,42480.57044902655,42347.29255097345,64.05732198835695,42433.1,42446.01,-0.0002507476474733483
2024-01-01 00:50:00,42422.45,42439.45,42422.45,42439.45,9.00815,2024-01-01 00:50:59.999,382205.6627715,472,6.83805,290120.0459152,0,0,42435.374285714286,42432.88735419172,42483.02043631518,42349.63656368481,63.54635054730404,42422.46,42433.1,0.0004004953979566128
2024-01-01 00:51:00,42439.45,42441.35,42436.48,42441.35,8.63682,2024-01-01 00:51:59.999,366539.3606944,408,5.07018,215172.7022832,0,0,42437.16571428571,42434.01570696616,42484.827337505754,42353.76566249424,56.75646551724216,42439.45,42422.46,4.4769665959343286e-05
2024-01-01 00:52:00,42441.35,42441.35,42441.34,42441.34,4.23696,2024-01-01 00:52:59.999,179822.2896285,248,2.97021,126059.7221835,0,0,42439.51714285714,42434.99227937067,42485.145905356105,42360.27009464389,59.259675967596536,42441.35,42439.45,-2.3561927231519064e-07
2024-01-01 00:53:00,42441.34,42441.35,42441.34,42441.35,3.9571,2024-01-01 00:53:59.999,167944.6361956,326,0.96816,41090.017416,0,0,42439.055,42435.83997545458,42484.56942328434,42367.59957671567,47.66206547662015,42441.34,42441.35,2.3561932782634187e-07
2024-01-01 00:54:00,42441.34,42459.56,42441.34,42459.55,7.29497,2024-01-01 00:54:59.999,309667.1063246,383,4.75695,201927.869272,0,0,42440.09214285714,42439.00131206064,42483.05294445916,42378.77805554083,54.72103004291982,42441.35,42441.34,0.0004288270754819745
2024-01-01 00:55:00,42459.56,42465.08,42455.99,42465.07,6.3753,2024-01-01 00:55:59.999,270685.3810866,405,2.18586,92808.3334859,0,0,42443.04,42442.47713711922,42478.35924532125,42394.01075467875,64.9453175925244,42459.55,42441.35,0.0001300060881472831
2024-01-01 00:56:00,42465.08,42480.16,42465.07,42480.15,4.58327,2024-01-01 00:56:59.999,194667.9638509,387,3.65951,155429.0114983,0,0,42447.00214285714,42447.500185503326,42478.75615277624,42403.64884722376,68.21435607801921,42465.07,42459.55,0.0003551153924861161
2024-01-01 00:57:00,42480.16,42490.74,42480.15,42490.73,6.03284,2024-01-01 00:57:59.999,256295.5501699,407,4.07451,173102.1287905,0,0,42452.10071428572,42453.26416076955,42486.60837315832,42403.242626841675,72.65744032503898,42480.15,42465.07,0.000249057500973926
2024-01-01 00:58:00,42490.73,42490.74,42478.41,42490.25,11.52049,2024-01-01 00:58:59.999,489466.8496786,450,4.45566,189297.1124393,0,0,42455.595714285715,42458.19560600028,42491.665614267564,42406.368385732436,67.9850033080931,42490.73,42480.15,-1.1296581630904079e-05
2024-01-01 00:59:00,42490.25,42490.26,42475.22,42475.23,6.42086,2024-01-01 00:59:59.999,272795.5653613,364,0.6938,29475.6190498,0,0,42456.53999999999,42460.466858533575,42494.60685412173,42406.16814587826,55.070573795643256,42490.25,42490.73,-0.0003534928601266474
2024-01-01 01:00:00,42475.23,42475.23,42455.46,42455.46,12.61588,2024-01-01 01:00:59.999,535689.057278,650,5.63703,239346.6912489,0,1,42455.82142857143,42459.79927739577,42495.108325500885,42406.709674499114,46.569362979130744,42475.23,42490.25,-0.0004654477444855365
2024-01-01 01:01:00,42455.47,42455.47,42444.42,42444.43,5.70722,2024-01-01 01:01:59.999,242269.2158536,397,1.26696,53776.2680313,0,1,42455.70857142857,42457.750040409665,42494.40486647351,42409.4761335265,49.4281164036479,42455.46,42475.23,-0.00025980168392947256
2024-01-01 01:02:00,42444.42,42461.31,42438.19,42461.29,45.55986,2024-01-01 01:02:59.999,1934072.0641842,727,41.59484,1765778.7164237,0,1,42457.72214285715,42458.22203502171,42494.404328762386,42413.137671237615,59.919769160391354,42444.43,42455.46,0.0003972252660713327
2024-01-01 01:03:00,42461.29,42465.3,42439.35,42441.2,15.987,2024-01-01 01:03:59.999,678700.207462,699,7.74805,328896.4672476,0,1,42459.06071428571,42455.95243035215,42492.67723700537,42417.049762994626,56.18318595750167,42461.29,42444.43,-0.00047313682650729216
2024-01-01 01:04:00,42441.2,42441.2,42435.52,42435.53,6.59804,2024-01-01 01:04:59.999,280023.8127179,400,1.47833,62741.4909202,0,1,42458.78071428572,42453.229439638526,42492.90937731235,42416.23862268765,48.60219654828205,42441.2,42461.29,-0.00013359659953060543
2024-01-01 01:05:00,42435.52,42441.12,42431.65,42441.11,8.05643,2024-01-01 01:05:59.999,341896.7989634,420,5.49313,233111.0565923,0,1,42458.76357142858,42451.61351435339,42492.14928422578,42414.90871577421,49.91660875608133,42435.53,42441.2,0.0001314935856817634
2024-01-01 01:06:00,42441.12,42459.22,42437.02,42459.21,16.91346,2024-01-01 01:06:59.999,717926.1872473,578,13.48562,572422.391938,0,1,42460.03999999999,42452.626379106274,42491.523177367424,42414.90382263257,55.51577257855462,42441.11,42435.53,0.0004264732944072591
2024-01-01 01:07:00,42459.22,42459.22,42445.92,42449.0,16.10281,2024-01-01 01:07:59.999,683611.3044991,518,8.4804,359998.6872082,0,1,42460.58642857143,42452.142861892105,42491.57753352623,42415.148466473765,52.22138335559586,42459.21,42441.11,-0.00024046608497896305
2024-01-01 01:08:00,42449.0,42449.0,42448.95,42448.95,7.75119,2024-01-01 01:08:59.999,329030.0139317,285,3.00948,127749.3398912,0,1,42459.829285714295,42451.71714697316,42491.24143007422,42417.069569925785,46.559335237598916,42449.0,42459.21,-1.177884049186062e-06
2024-01-01 01:09:00,42448.96,42448.96,42436.79,42436.8,9.87553,2024-01-01 01:09:59.999,419157.0737591,431,3.58051,151965.8334758,0,1,42457.81,42449.72819404341,42489.87420334195,42419.87079665805,41.20246467915733,42448.95,42449.0,-0.0002862261610709904
2024-01-01 01:10:00,42436.8,42455.47,42436.8,42448.71,13.46823,2024-01-01 01:10:59.999,571678.2398293,597,7.20627,305879.803865,0,1,42455.56428571428,42449.59243483762,42489.71772274735,42420.95327725265,40.01904761904688,42436.8,42448.95,0.00028065264110388455
2024-01-01 01:11:00,42446.44,42448.3,42446.01,42446.02,2.75677,2024-01-01 01:11:59.999,117013.9409793,257,1.3243,56211.2981011,0,1,42452.37071428571,42449.116110192605,42489.613076012945,42421.52492398706,35.05781699084078,42448.71,42436.8,-6.337059477190543e-05
